"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000188290",108.922127976716,2.0570638345841,0.196905313156012,10.4469696709212,1.51281888958418e-25,1.30538201374073e-24,"hes family bHLH transcription factor 4","HES4","57801"
"ENSG00000069812",3.15810817128513,2.95472164641184,1.29792491898597,2.27649658558084,0.0228163047331631,0.0419494385176344,"hes family bHLH transcription factor 2","HES2","54626"
"ENSG00000162490",12.974640930305,3.04770708207733,0.655648991392372,4.64838217108373,3.34548639275269e-06,1.01976791016317e-05,"dorsal inhibitory axon guidance protein","DRAXIN","374946"
"ENSG00000158825",13.8286362530918,-4.04436745726271,0.759755825654098,-5.3232463914058,1.01931528822056e-07,3.54391807449742e-07,"cytidine deaminase","CDA","978"
"ENSG00000020633",8.52787075188608,2.85925576500221,0.789746722313883,3.62047183510286,0.000294066261993964,0.000723772306156821,"RUNX family transcription factor 3","RUNX3","864"
"ENSG00000127423",20.8088303974424,-2.01706738833321,0.455301338389108,-4.43018110921825,9.41539814924802e-06,2.73588600007132e-05,"aurora kinase A and ninein interacting protein","AUNIP","79000"
"ENSG00000158008",82.7351085587211,-2.48788354917619,0.235884139074278,-10.5470573771506,5.24129482427999e-26,4.58162533334748e-25,"exostosin like glycosyltransferase 1","EXTL1","2134"
"ENSG00000162520",248.715147599884,-3.52266962027785,0.164601279632749,-21.4012286425565,1.30133341894865e-101,5.84727192941012e-100,"syncoilin, intermediate filament protein","SYNC","81493"
"ENSG00000092853",122.202137432252,-2.42411269643144,0.195217559026655,-12.4174931216124,2.1004037254906e-35,2.49241144172951e-34,"claspin","CLSPN","63967"
"ENSG00000134690",309.413921089907,-3.19981705199699,0.139249076696847,-22.979089900633,7.54517745746472e-117,4.16482492015412e-115,"cell division cycle associated 8","CDCA8","55143"
"ENSG00000163909",6.72067942828981,3.5978127579259,1.01124751259835,3.55779639811574,0.000373979003496269,0.000908322767555705,"hes related family bHLH transcription factor with YRPW motif like","HEYL","26508"
"ENSG00000117399",548.054729960495,-3.23340373494476,0.114651721630664,-28.2019640783134,5.53209165199244e-175,6.96854416812518e-173,"cell division cycle 20","CDC20","991"
"ENSG00000142945",300.535541619319,-2.95302462701454,0.138415331946842,-21.3345197058708,5.42992875112122e-101,2.4324100283898e-99,"kinesin family member 2C","KIF2C","11004"
"ENSG00000162415",21.4798159246607,2.82989198165189,0.486504418307475,5.81678577863065,5.99899410157877e-09,2.29823693966904e-08,"zinc finger SWIM-type containing 5","ZSWIM5","57643"
"ENSG00000085999",49.8295652262928,-2.88281485175918,0.320875977360061,-8.98420279223435,2.60616744034288e-19,1.74510203252037e-18,"RAD54 like","RAD54L","8438"
"ENSG00000123080",131.552292323887,-2.75714018901389,0.201695674945616,-13.6698032308195,1.53810538247801e-42,2.21806234118992e-41,"cyclin dependent kinase inhibitor 2C","CDKN2C","1031"
"ENSG00000085832",605.654170098824,-2.0867969772198,0.0858107005301566,-24.3186102004427,1.24600690019489e-130,8.82867773801551e-129,"epidermal growth factor receptor pathway substrate 15","EPS15","2060"
"ENSG00000085840",62.6028396919314,-2.54031934733897,0.268609359805295,-9.45730018187138,3.15996579068563e-21,2.32277186150249e-20,"origin recognition complex subunit 1","ORC1","4998"
"ENSG00000162599",31.0763295811351,-2.06564101993564,0.363228525027229,-5.68689097251047,1.29372992252517e-08,4.84918402802034e-08,"nuclear factor I A","NFIA","4774"
"ENSG00000024526",333.252157523288,-2.83279348073001,0.125335213681244,-22.6017365553344,4.16660551155853e-113,2.20098322685841e-111,"DEP domain containing 1","DEPDC1","55635"
"ENSG00000117069",23.9649851762818,-2.25416772629563,0.429801474762803,-5.24467192100644,1.56560661151706e-07,5.36602563733451e-07,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","ST6GALNAC5","81849"
"ENSG00000171517",75.7468133455321,3.35502729996,0.293410825472885,11.4345723084782,2.80917503935274e-30,2.80688960881225e-29,"lysophosphatidic acid receptor 3","LPAR3","23566"
"ENSG00000137975",33.5214982464307,3.78953533146322,0.47317330560788,8.00876821779886,1.15863037994681e-15,6.58538161961285e-15,"chloride channel accessory 2","CLCA2","9635"
"ENSG00000117228",682.433310695606,-2.20541188070194,0.0980998844116578,-22.4812892892651,6.32748427128639e-112,3.27208642772698e-110,"guanylate binding protein 1","GBP1","2633"
"ENSG00000162645",89.9913078872336,-2.32236783015538,0.220774910800137,-10.5191655235579,7.04951539392938e-26,6.13678428090557e-25,"guanylate binding protein 2","GBP2","2634"
"ENSG00000137962",747.210466132633,-2.18043253930011,0.0923899175256687,-23.6003299677621,3.82416321407941e-123,2.37808090502542e-121,"Rho GTPase activating protein 29","ARHGAP29","9411"
"ENSG00000117519",4483.62709360346,-2.42271923982668,0.0600016215412207,-40.3775627657377,0,0,"calponin 3","CNN3","1266"
"ENSG00000117598",1.68039679429588,-4.2619418040474,1.6878367589489,-2.52509123376452,0.0115668256466624,0.0225863841556344,"phospholipid phosphatase related 5","PLPPR5","163404"
"ENSG00000134222",215.560012132067,-2.08611319808431,0.159782402006163,-13.0559634345956,5.87619111291431e-39,7.66400925859567e-38,"proline and serine rich coiled-coil 1","PSRC1","84722"
"ENSG00000173947",2.17667202894805,4.48138074538884,1.54716244561611,2.89651597871111,0.00377331426036032,0.00799124954292145,"primary cilia formation","PIFO","128344"
"ENSG00000184599",4.87392111876866,-2.38597269502384,0.928834724603844,-2.56878067951376,0.010205702611944,0.0201165768483123,"TAFA chemokine like family member 3","TAFA3","284467"
"ENSG00000183508",2053.88135557663,3.20195534801527,0.0724172012048797,44.2153976505724,0,0,"terminal nucleotidyltransferase 5C","TENT5C","54855"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.34415915587229e-52,2.4366811364386e-51,"phosphoglycerate dehydrogenase","PHGDH","26227"
"ENSG00000188610",16.596191894567,-2.22948970021291,0.502207940488647,-4.43937564595976,9.02202257890197e-06,2.62572213206669e-05,"family with sequence similarity 72 member B","FAM72B","653820"
"ENSG00000263513",5.86998829636057,-2.67717724038582,0.88378287308339,-3.02922507543684,0.00245181945046519,0.00533750591742333,"family with sequence similarity 72 member C","FAM72C","554282"
"ENSG00000264343",11.4934459118352,-2.36668231985625,0.599115029878389,-3.95029702449068,7.80542677635145e-05,0.000204982857857925,"notch 2 N-terminal like A","NOTCH2NLA","388677"
"ENSG00000150337",4.83679464027018,2.587555846866,0.975832966153046,2.651638073949,0.00801023541311886,0.0160357035477514,"Fc gamma receptor Ia","FCGR1A","2209"
"ENSG00000143416",142.598013627199,-2.1220188902373,0.17022885111323,-12.4656829694857,1.14883289172744e-35,1.37208258981191e-34,"selenium binding protein 1","SELENBP1","8991"
"ENSG00000173207",201.547644874983,-2.53293182589335,0.153231987021433,-16.5300462072521,2.22972653378681e-61,4.9120642234604e-60,"CDC28 protein kinase regulatory subunit 1B","CKS1B","1163"
"ENSG00000183856",323.429239491754,-2.81373707390844,0.130539001597301,-21.5547617147289,4.77722240216734e-103,2.19335525741876e-101,"IQ motif containing GTPase activating protein 3","IQGAP3","128239"
"ENSG00000158473",3.82103427558311,5.29974131908135,1.39957325322204,3.78668376727014,0.000152671196913589,0.000388411548439922,"CD1d molecule","CD1D","912"
"ENSG00000198929",11.0483398602251,2.60399870098818,0.659841302444932,3.94640149281273,7.93345395514959e-05,0.000208159594785463,"nitric oxide synthase 1 adaptor protein","NOS1AP","9722"
"ENSG00000239887",25.6824110757332,2.75849472863316,0.465481538486066,5.92610984660079,3.10195131207443e-09,1.21264080735684e-08,"chromosome 1 open reading frame 226","C1orf226","400793"
"ENSG00000143248",679.495343922114,2.03805120068995,0.0845080258915912,24.1166584970806,1.67176033715068e-128,1.15132728266013e-126,"regulator of G protein signaling 5","RGS5","8490"
"ENSG00000143228",132.19342759075,-2.80268474738916,0.193869098223209,-14.4565831949263,2.2783018511275e-47,3.66968444611116e-46,"NUF2 component of NDC80 kinetochore complex","NUF2","83540"
"ENSG00000120337",90.8357060431566,2.24646743227884,0.242212844510047,9.27476590608992,1.78009500655178e-20,1.26190669584224e-19,"TNF superfamily member 18","TNFSF18","8995"
"ENSG00000116183",15.6925593685169,-2.60883668577309,0.546969415847028,-4.7696207688927,1.84573061432614e-06,5.75346400041003e-06,"pappalysin 2","PAPPA2","60676"
"ENSG00000198756",84.8395419009338,-2.18013969250895,0.228581239991624,-9.5377017492286,1.46032602218287e-21,1.0930566234094e-20,"collagen beta(1-O)galactosyltransferase 2","COLGALT2","23127"
"ENSG00000143341",2279.33849385387,2.05720946159811,0.0629925111674003,32.6580005063006,6.16936916095728e-234,1.49056004416702e-231,"hemicentin 1","HMCN1","83872"
